Id	Population	RawCoord1	RawCoord2	RawCoord3	RawCoord4	RawCoord5	RawCoord6	RawCoord7	RawCoord8	RawCoord9	RawCoord10	RawCoord11	RawCoord12	RawCoord13	RawCoord14	RawCoord15	RawCoord16	RawCoord17	RawCoord18	RawCoord19	RawCoord20	RawCoord21	RawCoord22	RawCoord23	RawCoord24
ml_113	ml	3.38	18.263	3.612	22.294	4.713	24.124	6.574	25.72	8.884	27.379	12.341	29.023	17.814	29.162	12.852	17.271	16.434	16.325	14.899	20.17	17.829	20.124	21.984	19.147
ml_114	ml	8.425	9.342	6.453	12.217	6.238	14.388	6.927	16.559	7.722	19.205	9.373	22.477	13.318	25.688	16.269	13.746	19.908	15.367	16.682	17.248	18.486	18.685	22.507	20.566
ml_115	ml	4.278	16.598	4.491	20.497	5.72	22.029	7.601	23.273	10.119	24.608	13.563	25.655	17.629	25.519	11.97	15.111	15.703	13.761	14.777	17.189	17.371	16.78	21.65	15.384
ml_404	ml	4.373	5.753	2.671	8.982	2.612	11.476	3.199	14.001	4.403	16.701	6.516	19.636	10.478	22.307	11.359	9.657	15.204	10.948	12.357	13.443	14.294	14.793	17.582	16.055
ml_405	ml	3.961	3.857	1.721	7.595	1.572	9.953	1.958	12.698	2.789	16.005	4.48	19.521	8.663	23.17	13.054	9.82	16.45	11.496	12.653	13.691	15.145	15.471	19.328	17.593
me_157	me	5.368	10.675	4.476	14.592	5.307	16.588	6.502	18.296	7.923	20.67	10.176	22.772	14.304	24.39	12.686	12.611	17.329	12.702	15.166	15.575	17.283	16.27	20.973	16.633
me_158	me	3.888	18.751	5.21	22.255	6.855	23.423	8.96	24.299	11.65	25.252	15.626	25.774	20.257	24.253	11.45	15.953	15.139	13.47	14.616	17.552	16.829	17.198	20.626	15.108
me_159	me	6.409	20.484	7.482	23.872	8.601	25.283	10.135	26.893	12.158	28.579	15.286	30.296	20.652	30.327	16.175	18.859	20.009	17.77	18.138	21.419	20.944	21.45	25.267	20.652
me_160	me	5.438	13.443	3.896	17.11	4.339	18.989	5.163	21.143	6.477	23.786	8.524	26.245	13.123	28.689	13.214	16.544	17.003	17.324	14.085	19.859	16.269	21.127	19.829	22.197
me_161	me	2.42	18.326	2.298	22.314	3.196	24.14	4.536	26.043	6.347	27.869	9.528	30.0	14.231	30.868	11.72	18.889	15.038	18.402	13.166	21.72	15.906	22.009	19.3	21.72
me_162	me	5.221	17.464	4.682	21.268	5.575	23.023	6.607	25.133	8.455	27.582	11.088	29.707	15.462	31.293	13.075	19.204	18.065	19.497	15.878	22.33	17.68	23.162	21.53	23.809
me_163	me	3.342	20.663	4.944	24.066	6.684	25.211	8.653	26.111	11.476	27.027	14.986	27.591	19.656	26.233	10.606	17.336	14.574	14.498	14.406	18.435	16.405	17.855	20.175	15.612
me_164	me	4.954	10.945	3.171	13.643	3.11	15.442	3.323	17.408	3.598	19.634	4.954	22.728	8.918	25.518	10.259	15.32	13.43	17.119	10.869	18.613	12.165	20.152	14.939	21.951
me_166	me	1.35	16.487	2.561	19.8	3.696	21.257	5.383	22.622	7.929	24.063	11.119	25.413	15.383	25.244	9.631	14.708	12.975	13.358	12.131	16.947	14.447	16.932	18.281	15.873
me_167	me	2.071	20.541	1.731	24.343	2.658	26.151	3.848	28.006	5.626	30.293	8.918	32.441	13.864	33.431	10.757	21.298	15.286	20.85	13.137	24.034	15.657	24.59	19.582	24.76
me_168	me	4.685	18.588	4.93	22.217	6.155	23.902	7.87	25.586	10.213	27.362	13.26	29.0	18.527	28.893	12.249	18.221	16.016	17.333	14.822	20.916	17.425	21.069	21.436	20.227
me_170	me	5.502	14.863	5.714	18.298	6.778	19.833	8.419	21.657	10.881	23.556	14.362	25.486	18.982	25.669	15.015	14.392	18.115	13.663	16.625	17.297	18.931	17.618	22.9	17.099
me_171	me	3.894	18.136	4.561	22.091	5.818	23.53	7.833	24.833	10.212	26.151	14.015	27.166	19.288	26.242	11.651	16.515	15.909	14.454	15.272	18.166	17.772	17.848	21.53	16.272
me_172	me	4.394	14.867	3.889	18.665	4.67	20.333	5.925	22.064	8.1	24.115	11.131	25.922	16.414	26.458	12.678	15.189	16.291	14.73	14.76	17.991	16.98	18.496	21.206	18.159
me_173	me	2.239	26.864	3.649	30.084	5.275	31.05	7.314	32.231	9.844	33.32	13.141	34.102	18.002	32.706	10.657	23.614	13.969	21.605	13.586	25.009	16.08	24.472	19.842	22.586
me_174	me	4.031	18.293	4.666	22.03	6.325	23.502	8.325	24.712	10.728	25.967	14.309	27.084	19.162	26.51	12.294	16.278	15.456	14.929	15.208	18.48	17.425	18.34	21.224	17.084
me_175	me	5.336	18.44	4.633	21.926	5.352	23.929	6.407	25.886	7.966	27.966	10.428	30.504	15.107	32.262	13.272	19.984	17.813	19.999	15.321	22.92	17.813	23.807	22.125	24.235
me_176	me	3.119	14.832	2.538	18.884	3.176	20.688	5.092	22.355	7.125	24.373	10.214	26.483	15.382	27.156	11.407	15.688	15.382	15.153	13.731	18.501	15.902	18.96	19.862	18.823
me_177	me	3.271	22.623	4.8	25.94	6.237	27.132	8.01	28.202	10.715	29.7	14.032	30.281	19.046	29.822	12.014	19.55	15.668	17.747	15.133	21.17	17.38	20.88	21.843	19.153
me_178	me	6.615	10.197	5.182	13.611	5.639	15.775	6.463	17.696	7.926	20.241	10.227	23.229	13.977	25.225	13.474	13.154	17.604	14.144	15.211	16.431	17.482	17.803	20.79	18.9
me_179	me	7.243	14.302	4.931	17.793	4.9	19.922	5.023	22.173	5.39	24.853	6.58	28.084	10.26	31.759	13.328	19.355	17.671	21.331	14.241	23.199	16.048	24.945	19.401	27.119
me_180	me	4.495	14.329	4.163	18.748	5.204	20.543	6.787	22.338	8.748	24.329	12.262	26.35	17.164	27.224	14.329	14.887	17.617	14.525	15.882	18.19	18.295	18.733	22.292	18.582
me_300	me	2.756	23.878	4.162	27.244	6.151	28.551	8.48	29.474	11.364	30.597	14.886	30.909	19.474	29.474	10.327	20.81	14.134	18.366	14.148	22.188	16.747	21.548	19.602	20.057
me_301	me	3.863	15.422	4.993	18.541	6.481	20.057	8.269	21.474	10.744	23.104	13.748	24.463	18.727	24.478	12.217	13.877	16.795	12.647	15.823	15.894	17.897	16.18	21.23	15.637
me_457	me	5.466	18.716	5.466	21.969	6.52	23.655	7.935	25.176	9.637	27.163	12.227	29.211	17.707	30.205	13.205	18.807	17.828	18.28	16.292	21.216	19.108	21.532	22.947	21.291
me_458	me	4.709	16.156	4.33	19.548	5.163	21.38	6.647	23.2727	8.797	25.438	11.916	27.527	17.004	28.118	13.309	16.747	17.322	16.277	15.505	19.366	17.791	19.714	21.955	19.305
me_459	me	4.059	16.024	4.12	20.144	5.271	22.113	7.058	23.794	9.512	25.475	12.98	27.308	19.175	27.308	13.192	15.328	17.266	14.161	15.903	17.781	19.266	17.539	23.037	16.66
me_460	me	6.477	16.837	6.201	20.291	7.014	22.209	8.38	24.205	10.268	26.445	13.123	28.425	17.543	29.807	15.103	17.973	18.986	17.697	17.267	20.674	19.723	21.273	23.314	21.242
me_461	me	4.873	19.736	6.452	22.894	8.335	24.109	10.354	24.898	12.753	25.839	16.29	26.34	21.512	24.625	11.599	16.791	16.093	12.967	16.047	17.474	18.385	16.821	21.922	14.908
me_462	me	3.862	21.056	4.628	24.687	5.961	26.358	7.969	27.829	10.482	29.239	13.96	30.817	20.243	30.051	12.489	18.91	16.596	17.025	15.953	20.581	19.002	19.952	23.032	18.496
me_463	me	3.129	23.725	2.764	27.158	3.904	29.178	5.347	30.682	7.822	32.748	11.118	34.525	16.024	34.889	11.346	24.333	15.538	23.862	13.852	26.961	16.708	27.386	20.095	27.021
me_502	me	6.853	11.467	5.673	15.263	6.429	17.215	7.518	19.076	9.243	21.284	12.268	23.72	16.837	25.096	13.796	13.312	18.168	13.373	15.914	16.519	18.304	17.275	22.116	17.517
me_503	me	5.155	14.029	4.566	17.809	5.609	19.638	7.257	21.482	8.995	23.644	11.49	25.534	16.191	26.955	12.88	14.982	17.703	14.619	16.373	16.627	18.807	18.217	22.979	18.051
me_504	me	1.768	14.707	1.572	18.637	2.796	20.587	4.414	21.948	6.59	23.383	9.795	24.955	14.647	25.273	9.402	14.314	14.42	13.105	13.045	16.385	15.403	16.536	19.091	15.962
ge_1	ge	6.637	13.2	5.221	17.034	5.855	19.114	6.725	21.223	8.289	23.804	10.206	26.256	14.866	28.568	14.454	15.958	19.099	16.563	16.622	19.321	18.804	20.456	22.757	21.385
ge_2	ge	7.117	15.763	6.218	19.09	6.758	21.128	7.732	23.016	9.14	26.027	10.968	28.305	15.104	30.643	15.344	18.67	19.644	19.404	16.947	21.847	18.88	23.061	22.701	24.02
ge_3	ge	5.345	25.897	6.411	29.657	8.188	31.227	10.142	32.382	12.867	33.922	16.48	34.899	21.825	34.129	14.125	23.394	18.005	21.573	17.294	25.23	19.974	24.83	24.194	23.246
