Id,WAL,WAR,MTL,MTR
gl_513,280.418,288.07,72.005,64.546
gl_514,265.307,267.5075,69.566,65.898
gl_516,311.6365,308.8035,103.656,95.421
gl_517,330.8715,325.015,109.106,97.875
wo_536,264.2095,264.1945,73.457,63.212
wo_537,300.7675,287.4975,83.77,63.763
wo_538,259.844,251.9955,68.872,64.9
or_540,262.391,257.068,81.743,73.113
or_542,280.0205,271.0325,89.6115,82.3945
or_543,274.1535,270.8835,82.694,77.335
or_544,1157.0615,246.447,79.879,56.12
or_545,247.3205,241.12,77.884,70.174
or_546,290.694,288.722,91.862,85.63
wo_75,251.482,241.0835,72.312,68.791
wo_10,264.609,256.786,61.032,63.47
ml_113,244.4315,245.9375,78.066,77.685
ml_58,258.9325,253.4645,83.447,81.373
ge_67,236.255,243.2325,51.798,40.1865
gl_488,265.5265,261.281,100.129,97.641
gl_487,244.961,243.163,95.571,94.94
ge_486,225.5845,216.7295,54.279,59.1775
ge_485,280.851,269.5445,73.506,68.222
ge_484,214.429,217.7935,57.267,58.485
ge_483,258.685,257.785,53.207,48.516
ge_482,256.746,253.3795,68.063,64.663
ge_481,249.5235,239.995,63.791,50.6285
gl_441,293.236,299.7415,98.299,98.827
gl_440,271.191,267.0605,90.406,95.321
gl_439,264.7185,256.2505,83.599,91.429
ge_438,232.511,243.586,56.297,63.99
ge_437,219.6775,233.1805,54.737,58.288
ge_436,223.5085,225.6595,51.72,53.006
me_175,232.38,232.8495,63.716,57.115
me_174,226.539,228.8655,50.018,57.126
me_172,212.97,217.6335,62.508,42.7225
me_171,244.7515,237.9355,63.668,59.376
me_170,226.9785,227.62,53.639,59.576
me_168,220.0115,218.157,59.988,61.724
me_167,252.129,255.0245,61.854,59.454
me_166,220.9815,216.434,63.5595,63.525
me_164,168.0625,166.5235,36.301,23.9125
me_163,246.635,244.826,64.908,73.078
me_162,235.9495,227.761,62.061,50.735
ml_115,218.601,218.575,75.313,74.047
